household_id;number_of_cars_class;number_of_bikes_class;ovgk;income;statpop_household_id
202302470564231;1;0;A;6;202302470564231
202302612308647;1;0;A;6;202302612308647
202302610893700;1;0;A;6;202302610893700
202303510618639;2;2;B;4;202303510618639
202302611376388;2;2;B;4;202302611376388
202327622362273;2;2;B;4;202327622362273
202302612727351;2;2;B;4;202302612727351
202301982095095;2;2;B;4;202301982095095
202364211003117;2;2;B;4;202364211003117
202301603679952;1;2;B;3;202301603679952
202330253294424;1;2;B;3;202330253294424
202300962252809;1;2;B;3;202300962252809
202303711387351;1;2;B;3;202303711387351
202339011359545;1;2;B;3;202339011359545
202362664043183;1;2;B;3;202362664043183
202340212423431;1;2;B;3;202340212423431
202303550696258;1;0;D;1;202303550696258
202305611898025;1;0;D;1;202305611898025
202309532764376;1;0;D;1;202309532764376
202305610778213;1;0;D;1;202305610778213
202303720725838;1;0;D;1;202303720725838
202304960762878;1;0;D;1;202304960762878
202321961110756;0;2;B;2;202321961110756
202321961120046;0;2;B;2;202321961120046
202321961116486;0;2;B;2;202321961116486
202322281136111;0;2;B;2;202322281136111
202321962755477;0;2;B;2;202321962755477
202321981126448;0;2;B;2;202321981126448
202327712371194;0;0;B;1;202327712371194
202327012339866;0;0;B;1;202327012339866
202329391237488;0;0;B;1;202329391237488
202351130430363;0;0;B;1;202351130430363
202302933545490;2;1;C;4;202302933545490
202300273844523;2;1;C;4;202300273844523
202302612690154;2;1;C;4;202302612690154
202302300482749;2;1;C;4;202302300482749
202302002745050;2;1;C;4;202302002745050
202337321613049;2;1;C;4;202337321613049
202301352146782;2;1;C;4;202301352146782
202310331486242;2;1;C;4;202310331486242
202301173172849;2;1;C;4;202301173172849
202300963014033;2;1;C;4;202300963014033
202327753130210;1;2;C;5;202327753130210
202328463153914;1;2;C;5;202328463153914
202325421630371;1;1;C;3;202325421630371
202300072116312;1;1;C;3;202300072116312
202311021604036;1;1;C;3;202311021604036
202316322611470;1;1;C;3;202316322611470
202301313315244;1;1;C;3;202301313315244
202300532125082;1;1;C;3;202300532125082
202305540777421;1;1;C;3;202305540777421
202302431936181;1;1;C;3;202302431936181
